uniprot	gene
A0A024R7J0	PRKACA
A0A059RM34	COX1
P17980	PSMC3
P30622	CLIP1
Q92973	TNPO1
Q5IRN4	MEF2D/DAZAP1
Q6FI81	CIAPIN1
Q96H79	ZC3HAV1L
Q53EU6	GPAT3
A0A024R8M0	GNA13
P36551	CPOX
O75190	DNAJB6
Q9P2W9	STX18
Q9Y305	ACOT9
V9HWF9	HEL20
A0A087WX23	PEG10
A0A140VJJ8	GNB1
Q16651	PRSS8
Q5JWF2	GNAS
A8MXP9	MATR3
Q99447	PCYT2
F5H7W8	C12orf43
E5KMI6	LONP1
Q9BRP4	PAAF1
A0A024R5L8	STARD10
Q8NET6	CHST13
O00154	ACOT7
Q9NR45	NANS
Q9NQG5	RPRD1B
A0A2U9QGI0	NAP1L4
H3BMF4	SPNS1
O60716	CTNND1
P20020	ATP2B1
A0A087WXU3	ESYT2
Q9NSE4	IARS2
Q8IVS2	MCAT
A0A024RAZ7	HNRPA1
P23396	RPS3
Q96C23	GALM
P35908	KRT2
O95210	STBD1
Q9H1E5	TMX4
Q9UH62	ARMCX3
Q9H4A6	GOLPH3
Q92542	NCSTN
A0A384ME17	TUFM
O14828	SCAMP3
P31153	MAT2A
E7EQR8	YIPF3
Q1HBJ4	MAPK1
P18206	VCL
P41250	GARS1
G8JLB6	HNRNPH1
Q9Y2S7	POLDIP2
O94760	DDAH1
P49903	SEPHS1
E7ESC7	MAEA
Q6NSW5	DENND10P1
P54920	NAPA
A0A024R7X6	RDH10
P04843	RPN1
Q9HB07	MYG1
Q96PC5	MIA2
F8VRH0	PCBP2
P82933	MRPS9
P61011	SRP54
Q12792	TWF1
Q4G0F5	VPS26B
A0A140VJU5	SH3GLB1
Q8NFH4	NUP37
P35900	KRT20
Q8NBS9	TXNDC5
P24752	ACAT1
P31942	HNRNPH3
Q4G0N4	NADK2
H7BZJ3	PDIA3
P50213	IDH3A
Q9NZI8	IGF2BP1
Q15166	PON3
P31930	UQCRC1
P04406	GAPDH
Q13952	NFYC
Q96J01	THOC3
Q9UHD8	SEPTIN9
A0A024RBL2	SDSL
A0A024R0R4	SAE1
A0A087WZN1	IDH3B
Q9NS68	TNFRSF19
A0A090N8Y2	ERP70
J3KPT4	TRABD
A0A024RC55	MFGE8
Q00796	SORD
Q9P1Y5	CAMSAP3
Q8WVY7	UBLCP1
O43488	AKR7A2
P17706	PTPN2
A0A0A0MR05	MLST8
Q5T749	KPRP
P04259	KRT6B
Q13371	PDCL
A0A024RB75	CS
Q9Y2P8	RCL1
Q6PK18	OGFOD3
K9JA46	EL52
P62879	GNB2
Q6UXH1	CRELD2
Q8N353	TMEM106B
O95202	LETM1
P25685	DNAJB1
V9HWB5	HEL-S-66p
H7C2Q8	EBNA1BP2
Q5VVQ6	YOD1
Q9BV79	MECR
O60701	UGDH
P30740	SERPINB1
P29992	GNA11
A0A024R539	LOC51035
O96008	TOMM40
P16989	YBX3
A0A343J4V6	HLA-A
Q86Y82	STX12
O60488	ACSL4
A0A024R329	GMPPB
