gene	C1	C2	C3	PAC51	PAC52	PAC53	logFC	AveExpr	t	P.Value	adj.P.Val	B	change	significance
ZNF385C	0.0795	0.05323	0.1138	0.08384	0.08896	0.152	0.04523	0.1319	0.8738	0.4158	0.7634	-5.385	NOT	FALSE
ZNF391	3.448	2.976	3.518	3.065	3.093	2.321	-0.1086	2.015	-1.812	0.1199	0.5927	-4.415	NOT	FALSE
ZNF394	18.47	16.62	18.31	17.49	16.36	16.14	-0.03748	4.189	-0.7044	0.5076	0.8155	-5.512	NOT	FALSE
ZNF395	29.57	28.93	28.54	27.66	27.39	26.13	-0.06237	4.862	-1.17	0.2864	0.6982	-5.119	NOT	FALSE
ZNF396	1.662	1.577	1.759	2.112	2.292	1.384	0.1704	1.472	1.645	0.1511	0.6133	-4.609	NOT	FALSE
ZNF397	7.844	6.607	7.878	7.722	7.609	6.423	0.05248	3.06	1.134	0.2999	0.7026	-5.154	NOT	FALSE
ZNF398	9.76	8.908	9.768	9.258	8.037	7.927	-0.07277	3.311	-1.185	0.2807	0.6954	-5.104	NOT	FALSE
ZNF404	0.8335	0.6696	0.7159	0.6446	0.9948	0.255	-0.08265	0.7336	-0.5319	0.6139	0.8634	-5.616	NOT	FALSE
ZNF407	4.984	4.312	5.447	5.613	5.222	5.912	0.2478	2.64	2.388	0.05415	0.5258	-3.732	NOT	FALSE
ZNF408	13.56	12.94	12.54	13.07	11.52	13.25	0.02317	3.786	0.2237	0.8304	0.9492	-5.735	NOT	FALSE
ZNF41	17.65	16.45	16.35	17.73	14.24	13.71	-0.08667	4.086	-1.01	0.3515	0.7315	-5.27	NOT	FALSE
ZNF410	0.1911	0.192	0.1824	0.2912	0.3089	0.1949	0.1029	0.2936	2.213	0.06883	0.5361	-3.939	NOT	FALSE
ZNF414	18.08	17.36	16.78	16.28	19.95	19.2	0.1282	4.239	1.165	0.2881	0.6982	-5.124	NOT	FALSE
ZNF416	4.733	4.483	3.811	3.347	4.574	4.196	-0.0006553	2.374	-0.00456	0.9965	0.9991	-5.762	NOT	FALSE
