name	C1	C2	C3	PAC21	PAC22	PAC23	PAC51	PAC52	PAC53
46	ENSG00000151376	4.594628773	4.042355231	3.864177998	4.557677906	4.930563993	5.008642991	3.674994946	4.461567239	4.500029436
47	ENSG00000107731	3.672035659	3.575541623	3.044169843	3.29396692	2.87683742	2.797393544	2.093794271	2.387751463	2.603767421
48	ENSG00000107738	7.777860193	7.736413284	7.879687656	7.959345725	7.614900219	7.799919999	7.286296829	6.986108569	8.559138351
49	ENSG00000110801	0.497715551	0.41866465	0.480774696	0.479677456	0.471952139	0.501063457	0.43433764	0.592360975	0.476688313
50	ENSG00000203441	0.238475112	0.049559682	0.10184252	0.15082748	0.051061804	0	0.200932113	0.106433797	0.112856537
51	ENSG00000231877	0.043024199	0	0	0	0.046061269	0	0	0	0
52	ENSG00000246528	0	0.021970535	0	0	0	0	0	0	0.02501548
53	ENSG00000246526	0.66233483	0.617033011	0.707137191	0.770399048	0.660186225	0.591725454	0.745688753	0.484183184	0.594464526
54	ENSG00000204498	20.36253054	19.72536637	18.39531236	18.55644304	19.77260012	20.27868077	17.30952785	17.21607057	21.2144914
55	ENSG00000246523	0.537416419	0.651498133	0.38251261	0.975632552	0.479460444	0.804474755	0.597459305	0.533009455	0.600497237
56	ENSG00000104823	31.71094525	34.87764138	28.87026973	32.16511661	32.68601239	34.5404275	34.19739133	29.98369934	37.33790131
57	ENSG00000104826	0.080914513	0.084077904	0.172775637	0.42646421	0.519757508	0.167709269	0.255660704	0.361129461	0.38292179
58	ENSG00000104827	0	0	0	0	0	0	0.049946637	0	0
59	ENSG00000104824	19.11520841	20.02092	19.54892632	23.58171395	22.86676497	22.60905838	24.45427181	24.79793572	25.91924676
60	ENSG00000104825	8.572133608	6.936137683	8.253976919	8.451184735	8.066007329	7.696657512	8.85865073	9.025439469	10.81927065
61	ENSG00000007306	0.031400573	0.032628194	0.083811512	0.08274919	0.016808567	0.048812324	0.033071499	0.087589913	0.018575104
62	ENSG00000199347	0	0	0	0.365337673	0	0	0	0.773418928	0
